"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"28-Jun-2023","EQ","78.95","80.10","77.50","78.25","79.80","79.70","78.91","84.50","30.60","50,780,871","4,007,240,808.85","92,086"
"27-Jun-2023","EQ","78.10","79.60","77.95","77.75","78.00","78.25","78.70","84.50","30.60","37,226,897","2,929,657,625.50","65,851"
"26-Jun-2023","EQ","77.90","78.25","76.45","77.75","78.15","77.75","77.20","84.50","30.60","30,737,311","2,372,858,489.60","78,736"
"23-Jun-2023","EQ","77.60","79.15","75.55","77.60","77.65","77.75","77.63","84.50","28.95","56,849,916","4,413,317,477.50","123,129"
"22-Jun-2023","EQ","81.90","82.00","77.30","82.20","77.85","77.60","78.65","84.50","28.95","85,854,307","6,752,424,136.10","238,325"
"21-Jun-2023","EQ","83.10","84.35","81.50","82.80","82.20","82.20","82.47","84.50","28.95","44,526,728","3,672,043,585.25","85,974"
"20-Jun-2023","EQ","81.75","83.15","81.40","81.30","83.05","82.80","82.24","84.50","28.95","46,126,349","3,793,402,155.25","107,005"
"19-Jun-2023","EQ","82.00","84.50","80.20","81.70","81.65","81.30","82.70","84.50","28.95","82,330,493","6,808,680,166.90","159,768"
"16-Jun-2023","EQ","79.50","82.35","79.25","79.00","81.00","81.70","80.93","82.35","28.95","60,784,532","4,919,169,997.35","151,478"
"15-Jun-2023","EQ","76.90","79.90","76.30","76.75","79.00","79.00","78.82","79.90","28.95","71,417,373","5,629,194,607.35","187,540"
"14-Jun-2023","EQ","75.25","76.90","74.95","74.80","76.65","76.75","76.27","76.90","28.95","50,922,815","3,883,641,833.25","77,826"
"13-Jun-2023","EQ","73.20","75.00","73.00","72.80","74.85","74.80","74.31","75.00","28.95","44,054,805","3,273,643,076.05","55,854"
"12-Jun-2023","EQ","71.80","73.05","70.85","71.70","72.90","72.80","72.09","74.25","28.95","21,006,740","1,514,313,838.30","51,995"
"09-Jun-2023","EQ","72.35","72.90","71.45","72.20","71.65","71.70","72.24","74.25","28.95","17,742,518","1,281,646,640.05","47,215"
"08-Jun-2023","EQ","73.60","73.90","72.05","73.60","72.30","72.20","72.87","74.25","28.95","28,757,809","2,095,498,843.15","73,388"
"07-Jun-2023","EQ","74.00","74.25","73.30","73.80","73.55","73.60","73.90","74.25","28.95","17,304,251","1,278,740,932.25","56,604"
"06-Jun-2023","EQ","73.95","74.15","73.05","73.70","73.85","73.80","73.69","74.15","28.95","24,524,411","1,807,255,247.05","149,412"
"05-Jun-2023","EQ","73.60","74.10","73.05","72.90","73.70","73.70","73.70","74.10","28.95","29,709,631","2,189,487,342.90","70,844"
"02-Jun-2023","EQ","73.15","73.25","72.50","72.60","72.70","72.90","72.86","73.40","28.95","22,721,246","1,655,443,475.75","58,654"
"01-Jun-2023","EQ","71.50","73.40","71.25","71.65","72.60","72.60","72.57","73.40","28.95","38,796,472","2,815,515,690.25","88,128"
"31-May-2023","EQ","71.70","72.00","70.50","71.65","71.95","71.65","71.26","72.00","28.95","25,124,618","1,790,479,329.55","61,684"
"30-May-2023","EQ","70.20","71.85","70.00","70.15","71.55","71.65","71.33","71.85","28.95","32,919,579","2,348,262,618.85","61,367"
"29-May-2023","EQ","70.50","70.80","69.60","69.85","70.20","70.15","70.14","70.80","28.95","30,903,068","2,167,558,188.45","70,989"
"26-May-2023","EQ","68.35","70.00","68.10","68.00","69.65","69.85","69.38","70.00","28.95","45,050,454","3,125,571,527.65","77,605"
"25-May-2023","EQ","66.00","68.10","65.85","66.00","68.05","68.00","67.36","68.20","28.95","32,270,687","2,173,708,507.95","65,862"
"24-May-2023","EQ","66.00","66.20","65.60","66.05","66.15","66.00","65.87","68.20","28.95","13,233,287","871,653,715.00","32,322"
"23-May-2023","EQ","66.50","66.65","66.00","66.40","66.10","66.05","66.29","68.20","28.95","13,617,230","902,726,032.25","27,154"
"22-May-2023","EQ","66.90","67.10","66.10","66.80","66.40","66.40","66.42","68.20","28.95","14,673,852","974,617,160.55","34,829"
"19-May-2023","EQ","66.95","67.15","65.65","66.70","66.75","66.80","66.40","68.20","28.95","19,419,804","1,289,556,409.05","36,636"
"18-May-2023","EQ","67.20","67.80","66.50","66.95","66.65","66.70","67.21","68.20","28.95","28,449,421","1,912,135,756.35","53,325"
"17-May-2023","EQ","67.40","67.60","66.20","67.40","67.15","66.95","66.83","68.20","28.95","33,520,067","2,240,148,942.25","62,732"
"16-May-2023","EQ","67.05","68.20","66.90","66.75","67.40","67.40","67.68","68.20","28.95","42,836,803","2,899,316,527.70","65,952"
